Filename,Cluster
237327 - Bevilacqua Research Corporation.txt,185
123745 - A-Tono.txt,318
11651 - The Mobility House.txt,69
209098 - API Group.txt,168
158609 - AVT Simulation.txt,474
213202 - Fast2.txt,38
162506 - Planit.txt,347
150427 - Avanti Markets.txt,195
135332 - Applied Minds.txt,423
133142 - Viafoura.txt,50
"135240 - Darklight, Inc..txt",220
161371 - Lightology.txt,100
191182 - Red Valve.txt,0
119307 - DSIT.txt,52
19656 - Sensority.txt,58
139124 - Kodiak.txt,427
115496 - Digpro.txt,32
14516 - Amplitude Studios.txt,396
192187 - Canadian Credit Union Association.txt,102
134950 - Wheaton Van Lines.txt,404
234563 - White Pants Agency.txt,174
143197 - Callahan & Associates.txt,101
193817 - RL Canning.txt,361
138185 - Azazie.txt,222
110947 - AutoForm Engineering.txt,20
135863 - Yasso.txt,27
22116 - CoinShares.txt,139
143741 - geoLOGIC.txt,315
139065 - Three Five Two.txt,349
187930 - ESTI Consulting Services.txt,141
113685 - AP Sensing.txt,35
14162 - Allo-Media.txt,446
198141 - North Star Systems.txt,22
146802 - Savoya.txt,135
145583 - TechBlocks.txt,161
133099 - Globalstar.txt,369
21903 - FarmaTrust.txt,339
15931 - Lydia.txt,468
166560 - Avo Photonics.txt,167
116977 - Sorgente Natura.txt,308
135853 - Biscom.txt,302
105328 - Schrodinger.txt,440
100715 - AREM.txt,465
153188 - Invoice Home.txt,358
130536 - Fastcase.txt,44
117747 - E-Drive Technology.txt,23
117747 - E-Drive Technology.txt,23
177880 - Marstudio.txt,138
20134 - Secret Double Octopus.txt,117
245780 - Argonics.txt,249
172832 - LTVPlus.txt,300
226952 - emtrion.txt,60
128139 - CBrain.txt,12
139124 - Kodiak.txt,427
107056 - Locketgo.txt,283
115001 - White Label Loyalty.txt,219
137588 - Gradelink.txt,277
249128 - Think Shift.txt,346
102588 - Urbasolar.txt,433
107360 - Artscape.txt,4
113685 - AP Sensing.txt,35
149302 - RxSafe LLC.txt,214
115171 - Securecell.txt,53
213852 - DCM.txt,118
128981 - Walt Disney Animation Studios.txt,434
239168 - LGM.txt,413
148622 - ProVest LLC.txt,464
111301 - Ascendance Flight Technologies.txt,269
163994 - Corrisoft.txt,145
215854 - Sereneo.txt,454
100715 - AREM.txt,465
142138 - IDMWorks.txt,179
205166 - PayZen.txt,188
141266 - Free Range Games.txt,29
251635 - Stanfield's.txt,14
104944 - Tribal Credit.txt,171
126134 - Neofonie Mobile GmbH.txt,24
123745 - A-Tono.txt,318
195087 - Rove.txt,338
244404 - ISAM.txt,156
209075 - Sam McCauley Chemists.txt,216
150027 - Squeeze Massage.txt,190
161959 - Advanced Medical Reviews.txt,201
112805 - Exception.txt,253
125639 - XeniT.txt,43
156878 - Prospect 33.txt,176
188650 - Austin Visuals 3D Animation Studio.txt,6
129065 - BARK.txt,5
155945 - Carlton Group Limited.txt,353
173740 - LifeWorx.txt,197
136457 - Mariner.txt,25
200933 - Bursting Silver.txt,321
217512 - Klubmodul.txt,17
165145 - BEA Sensors Americas.txt,34
160722 - MaxLite.txt,250
179891 - CentrAlert.txt,272
19609 - Opinion Stage.txt,9
21266 - Clym.txt,155
140275 - UEAT.io.txt,392
135913 - Alaka'i.txt,63
134623 - 100 Percent Pure.txt,215
190204 - Touch of Life Technologies.txt,119
176067 - Strategis.txt,147
22826 - Acurable.txt,475
199396 - Seneca Holdings.txt,267
185681 - Power System Engineering.txt,67
167998 - JobsMedia.txt,426
161371 - Lightology.txt,100
134664 - Clarity Software Solutions.txt,480
24686 - OutThink.txt,436
252187 - Source 360.txt,341
136859 - Fingercheck.txt,301
111104 - jacando.txt,59
223442 - ethcon.txt,87
104640 - Aliro Technologies.txt,192
163994 - Corrisoft.txt,145
150232 - X by 2.txt,252
118798 - Yatta.txt,456
25338 - Hummingbird Technologies.txt,316
21148 - Konsentus.txt,295
250518 - Global Testing.txt,160
129882 - Alexa.com.txt,484
229768 - Saskatchewan Research Council.txt,128
130826 - AES Corporation.txt,54
135863 - Yasso.txt,27
208072 - GTD.txt,429
141857 - Cloudbyz.txt,259
176067 - Strategis.txt,147
149221 - Amerisure Insurance.txt,350
135369 - EVOTEK.txt,238
12131 - Polyteia.txt,49
112047 - Lemon Learning.txt,370
145583 - TechBlocks.txt,161
213852 - DCM.txt,118
158939 - IKUSI.txt,412
143774 - Quartet FS.txt,1
"180949 - Virtual Tech Gurus, Inc..txt",164
135332 - Applied Minds.txt,423
165145 - BEA Sensors Americas.txt,34
206217 - PXP Financial.txt,114
154716 - BioDot.txt,249
131051 - Bond Brand Loyalty.txt,320
222231 - MondayCoffee.txt,64
134865 - DocuPhase.txt,125
193995 - Romet.txt,165
23465 - Smartr365.txt,335
120067 - Deutsche Gesellschaft fБr Cybersicherheit.txt,74
"153694 - Cornet Technology, Inc..txt",226
120616 - Login Consultants.txt,211
12516 - Iviso.txt,41
105137 - Icosavax.txt,260
116977 - Sorgente Natura.txt,308
194759 - Zel Technologies.txt,479
118798 - Yatta.txt,456
168370 - AIKIT Digital.txt,340
141857 - Cloudbyz.txt,259
131208 - Sora.txt,334
134451 - NaviStone.txt,309
152016 - American Auto Shield.txt,280
108117 - Clearpath Robotics.txt,88
111591 - EveryMatrix.txt,71
240408 - Columbia Advisory Group.txt,371
120067 - Deutsche Gesellschaft fБr Cybersicherheit.txt,74
135332 - Applied Minds.txt,423
146952 - LiveGauge.txt,48
115171 - Securecell.txt,53
201800 - Computer System Innovations.txt,230
"180949 - Virtual Tech Gurus, Inc..txt",164
186504 - Local Wisdom.txt,248
186504 - Local Wisdom.txt,248
25338 - Hummingbird Technologies.txt,316
107107 - Hardbacon.txt,16
129686 - San Diego Padres.txt,257
217512 - Klubmodul.txt,17
117747 - E-Drive Technology.txt,23
204896 - SteelSeries.txt,439
133142 - Viafoura.txt,50
117899 - HolidayCheck Group.txt,57
17281 - Gens de Confiance.txt,-1
211703 - Portima.txt,343
230064 - MadDog Technology.txt,332
112826 - Avantgarde.txt,388
"141085 - Aqueduct Technologies, Inc..txt",431
125805 - ECSPLICITE.txt,393
155805 - seoplus+.txt,153
132528 - Rugs USA.txt,244
125805 - ECSPLICITE.txt,393
135094 - OHO Interactive.txt,143
111591 - EveryMatrix.txt,71
106546 - Miovision Technologies.txt,310
237327 - Bevilacqua Research Corporation.txt,185
136519 - Veros.txt,140
140275 - UEAT.io.txt,392
12516 - Iviso.txt,41
209075 - Sam McCauley Chemists.txt,216
116061 - Ackcent.txt,390
110773 - ULTRA.txt,461
150427 - Avanti Markets.txt,195
176542 - Vienna Beef.txt,103
210974 - AMIS.txt,225
145259 - The Sullivan Group.txt,329
196193 - Rfid Canada.txt,430
194759 - Zel Technologies.txt,479
183522 - Translational Drug Development.txt,264
144553 - Clozd.txt,7
18820 - GenCell.txt,62
139124 - Kodiak.txt,427
187930 - ESTI Consulting Services.txt,141
135369 - EVOTEK.txt,238
200666 - Streampoint Solutions Inc..txt,290
162247 - Acromove.txt,206
121177 - Wickham Laboratories.txt,159
150232 - X by 2.txt,252
